Title | Year | RQ1_Datasets | RQ1_Image_Count | RQ1_Class_Balance | RQ2_Preprocessing | RQ2_Augmentation | RQ3_RQ4_Seg_Scope | RQ5_RQ6_Class_Scope | RQ7_Model_Architecture | RQ7_Novelty | RQ7_Transfer_Learning | RQ8_Metrics_Used | RQ8_Best_Result | RQ8_SOTA_Compare | RQ9_Limitations | RQ10_Future_Work
Skin cancer classification via convolutional neural networks: systematic review of studies involving human experts | 2021 | Multiple (Systematic review of 19 reader studies including ISIC image archive, HAM10000, and various clinical/hospital datasets)  | N/A (Survey paper; reviewed studies involve thousands of images across dermoscopic, clinical, and histopathological types)  | No (Reviews studies addressing class imbalances via specific metrics like sensitivity and specificity)  | N/A (Survey paper; notes that most reviewed studies rely on single images of suspicious lesions)  | N/A (Survey paper; discusses standard supervised learning training for CNNs)  | Both (Reviews studies on lesion classification and digitised histopathological whole slide images)  | Both (Binary: Melanoma vs. Nevus/Benign; Multi-class: Up to 134 disease categories)  | Convolutional Neural Networks (CNNs) and CNN ensembles  | Standard (Systematic review and meta-analysis of existing reader studies)  | Yes (Reviews multiple studies utilizing fine-tuning and transfer learning)  | Accuracy, Sensitivity, and Specificity  | Superior or equivalent performance of CNNs compared to clinicians in all 19 included studies  | Yes (Systematically compares AI results with human experts across all reviewed studies)  | Studies conducted in highly artificial settings (single images); test sets often lack OOD data and diversity of skin types/melanoma subtypes  | Truly prospective studies involving real-life face-to-face patient examinations; providing CNNs with additional metadata and clinical context  | 10
Skin Cancer Classification With Deep Learning: A Systematic Review  | 2022  | PH², MED-NODE, HAM10000, Derm7pt, BCN20000, ISIC Archive  | >13,000 (ISIC Archive); 10,015 (HAM10000); 20,000 (BCN20000)  | Yes (SMOTE, class-weighted loss, focal loss, GAN-based synthetic data)  | Artifact/noise removal (hair removal), image contrast enhancement, and ROI cropping  | Rotation, padding, rescaling, flipping, translation, GANs (DCGAN, PGGAN, Style-based GAN)  | Lesion Boundary  | Both (Binary: Malignant/Benign; Multi-class: Up to 134 categories)  | VGGNet, GoogLeNet, ResNet, Inception-v3, DenseNet, MobileNet, SqueezeNet, EfficientNet, ViT  | Ensemble, Transfer Learning, Knowledge Distillation, Pruning, Transformer-based architectures  | Yes (Pre-trained on ImageNet)  | Accuracy, AUC, Sensitivity, Specificity, F1-score, Precision, IoU, Dice  | Accuracy: 99.29% (GoogleNet on MED-NODE); Accuracy: 98.4% (Pre-trained Inception v3 on PH²)  | Yes (Reviews and compares performance across multiple studies and SOTA models)  | Data imbalance, limited labeled data, cross-domain shift (generalization), and model efficiency/computational cost  | Structured, lightweight (pruning, distillation), and multimodal (fusing image and metadata) approaches  | 10
Skin Cancer Detection: A Review Using Deep Learning Techniques  | 2021  | HAM10000, PH2, ISIC Archive, DermQuest, DermIS, Atlas Derm, Dermnet  | >88,000 (Aggregate across listed datasets)  | No (Unbalanced datasets noted as a major challenge)  | Data cleaning, Hair removal, Noise removal, Contrast enhancement, Resizing  | Augmentation (Lighting and scale transformation), GANs (DCGAN, CGAN, SRGAN, LPGAN)  | Lesion Boundary (Edge based, Region based, Morphological, Active-contours, Histogram thresholds)  | Both (Binary: Melanoma vs. Benign; Multi-class: BCC, SCC, SK, AK, IC, etc.)  | ANN, CNN (AlexNet, ResNet, VGG, GoogleNet, Inception), KNN (Self-Organizing Map), GAN  | Standard (Systematic Review of existing literature)  | Yes (Extensive review of transfer learning from ImageNet)  | Accuracy, Specificity, Sensitivity, AUC, ROC, Jaccard Index, Dice Coefficient, F1-score  | Accuracy: 98.3% (KNN); Accuracy: 97.51% (ANN); AUC: 0.99 (CNN)  | Yes (Systematic comparison of various study results)  | Extensive training requirements, Small interclass variation, Unbalanced datasets, Lack of dark-skinned image data, Hardware limitations  | Full-body photography, Auto-organization (unsupervised learning), Inclusion of genetic/environmental risk factors, Optimization via metaheuristic algorithms  | 10
Skin Cancer Detection Using Combined Decision of Deep Learners | 2022 | ISIC 2019  | 5,800 images (3,000 malignant and 2,800 benign)  | Yes (Malignant images were limited to 2,800 to match the number of benign images and avoid algorithmic bias)  | Resizing | N/A | N/A | Binary (Malignant vs. Benign)  | Ensemble of VGG16, CapsNet, and ResNet  | Ensemble (Combined decision of three deep learners using majority weighting)  | No (Models were developed/trained on the training dataset)  | Accuracy, Sensitivity, Specificity, F-Score, False-positive, and Precision  | Accuracy: 93.5%  | Yes (Compared against individual learners and state-of-the-art methods)  | Limited performance of individual learners on sensitive issues; limited medical data availability for deep learning training  | Studying the achievement of reinforcement learning-based techniques for skin cancer detection  | 10
Skin cancer detection: Applying a deep learning based model driven architecture in the cloud for classifying dermal cell images | 2020 | HAM10000  | >10,000 images  | No (Specifically notes that non-parametric solutions like deep learning do not rely on normal data distribution)  | Data preparation involving cleaning and formatting using IrfanView for bulk naming and image customization  | N/A | N/A | Both (Binary and multi-class classification)  | Convolutional Neural Network (CNN) architectures, including ResNet50, SqueezeNet, DenseNet201, and InceptionV3  | Model-Driven Architecture (Utilizes Deep Learning Studio for "plug and play" model development without programming knowledge)  | Yes (Uses pre-trained networks for several tested models)  | AUC (Area Under the Curve), Sensitivity, Specificity, Precision, and F1-Score  | AUC: 99.77% (using SqueezeNet)  | Yes (Results compared against existing state-of-the-art findings)  | Diagnosis is subjective and clinician-dependent; scarcity of skilled dermatologists in public healthcare  | Deploying the model as a REST API and developing enterprise-level applications  | 10
Skin cancer diagnosis based on deep transfer learning and sparrow search algorithm | 2023 | ISIC 2019 and 2020 Melanoma, HAM10000, PH2, Skin diseases image dataset, and Skin cancer segmentation and classification | 69,148 images total (ISIC 2019/20: 36,780; HAM10000: 10,015; Skin diseases: 27,153; PH2: 200; Segmentation/Classification: 10,015)  | Yes (Data balancing applied before training using various data augmentation techniques to ensure even distribution across categories)  | Resizingand scaling (Standardization, Normalization, Min-Max, and Max-Absolute)  | Flipping (Horizontal/Vertical), Rotation, Shifting (Width/Height), Shearing, Zooming, Cropping, Color change, and Brightness change  | Both (Focuses on segmenting the tumor portion followed by multi-class classification)  | Both (2-class: Melanoma vs. NotMelanoma/Nevus; 10-class: Atopic Dermatitis, Basal Cell Carcinoma, Benign Keratosis, Eczema, Melanocytic Nevi, Melanoma, Psoriasis, Seborrheic Keratoses, Tinea, and Warts)  | 8 pre-trained CNNs for classification (e.g., MobileNet, VGG, NASNet) and 5 U-Net variants for segmentation (U-Net, U-Net++, Attention U-Net, V-Net, Swin U-Net)  | New Architecture (Threshold-based automatic approach using Sparrow Search Algorithm (SpaSA) for hyperparameter optimization of CNN and U-Net models)  | Yes (Pre-trained models like MobileNet, VGG16/19, and NASNet used with ImageNet weights)  | Accuracy, F1-score, AUC, IoU, Dice, Precision, Sensitivity, Specificity, Hinge, and Squared Hinge  | Segmentation (PH2): 94.75% (Attention U-Net with DenseNet201); Classification (HAM10000): 98.83% (MobileNet)  | Yes (Compared with 13 prior related studies, outperforming many of them)  | Training is time-consuming due to high-dimensional features; only 8 CNN and 5 U-Net architectures were evaluated  | Evaluating the system with additional available datasets and further enhancing the performance of the segmentation phase  | 10
Skin cancer diagnosis based on optimized convolutional neural network | 2020 | Dermquest and DermIS | Over 22,000 images in Dermquest; DermIS is noted as the largest online atlas (specific count not detailed) | No (80% training and 20% testing split used) | Dividing images into superpixels and resizing for input to $28\times28$ pixels | N/A | Lesion Boundary (Segmenting lesions from background) | Binary (Background vs. Cancerous region) | Optimized Convolutional Neural Network (CNN) | New Architecture (Ordinary CNN optimized using an improved Whale Optimization Algorithm (WOA) based on Lévy flight) | No (The optimization algorithm is used for optimal selection of weights and biases to minimize error) | Specificity, Accuracy, Sensitivity, NPV, and PPV | Accuracy: Not explicitly numerical in text, but illustrated as superior to AlexNet, VGG-16, and ResNet in comparative analysis | Yes (Outperformed 10 different methods including AlexNet, ResNet, VGG-16, and Inception-v3) | Gradient descent-based ordinary CNNs can get stuck in local minima; the proposed WOA-CNN aims to overcome this but requires specific parameter constraints | Increasing the utilization of image processing and machine vision for earlier detection and simpler diagnosis for specialists | 10
Skin Cancer Disease Detection Using Transfer Learning Technique | 2022 | ISIC 2020 and ISIC 2019  | 33,126 images (ISIC 2020); augmented to 11,670 images per class for balanced training  | Yes (Class imbalance handled via data augmentation and including additional melanoma images from the ISIC 2019 archive)  | Resizing | Rescaling, width shift, rotation ($25^{\circ}$), shear range ($20^{\circ}$), horizontal flip, zoom range (0.2), brightness transformation, and channel shift |N/A | Binary (Malignant/Melanoma vs. Benign)  | MobileNetV2  | New Architecture (Utilizes a novel deep transfer learning model based on MobileNetV2 with depthwise separable convolutions and inverted residuals)  | Yes (Pre-trained on ImageNet)  | Accuracy, F1-score, Precision, Recall, and AUC Score/ROC Curve  | Average Accuracy: 98.2%; Leader Board Accuracy: 98.04%  | Yes (Outperformed several state-of-the-art models including CNN-based CMLD, ANN, and ensemble models)  | Limited training data can lead to overfitting; original dataset was highly imbalanced (less than 2% malignant)  | Validating the model on a series of skin cancer images from patients in Pakistan  | 10
Skin disease detection and segmentation using dynamic graph cut algorithm and classification through Naive Bayes classifier | 2020 | ISIC 2017  | 23,906 images total for training and testing  | No (Shuffling and k-fold cross-validation used to estimate model efficiency)  | Image smoothing (Gaussian filter), color conversion (RGB to HSV), and shading effects attenuation  | N/A | Lesion Boundary (Dynamic graph cut algorithm for segmenting affected regions)  | Both (Binary: Healthy vs. Lesion; Multi-class: Eczema, Psoriasis, Vitiligo, Melanoma, Carcinoma, and Blue Nevus)  | Dynamic graph cut algorithm for segmentation and Naive Bayes for classification  | New Architecture (Novel dynamic graph cut algorithm that updates seeds over iterations)  | No (The Naive Bayes classifier is trained on features extracted from the segmented regions)  | Sensitivity, Specificity, and Accuracy  | Accuracy: 94.3% (Benign); 91.2% (Melanoma); 92.9% (Keratosis)  | Yes (Outperformed FCN and SegNet by 6.5% and 8.7% respectively)  | Traditional graph algorithms may fail to detect long-range cues or capture fine texture details  | Experimenting with different color models and extending the algorithm to other practical applications  | 10
Skin disease diagnosis with deep learning: A review  | 2021  | PH2, ISIC, HAM10000, IAD, MED-NODE, Dermnet, Dermofit Image Library, Hallym, AtlasDerm, Danderm, Derm101, 7-point criteria evaluation dataset, SD-198, DermIS, MoleMap, Asan dataset, The Cancer Genome Atlas  | >102,451 (MoleMap)  | No (Method: Weighted loss functions, GAN-based augmentation mentioned as solutions)  | Cropping, Resizing, Channel-wise mean intensity normalization, Hair removal (Thresholding, Morphological, Deep learning)  | Geometric (Flip, Crop, Translation, Rotation), Color space augmentation, Kernel filters, Mixing images, Random erasing, GANs, Neural style transfer  | Both (Lesion Boundary and 7-point Checklist Attributes)  | Both (Binary: Benign vs Malignant; Multi-class: 3-way to 198 categories)  | CNN (VGG, ResNet, GoogLeNet, Inception, DenseNet), U-Net, FCN, GAN, RNN (LSTM), R-CNN, YOLO  | Ensemble, Transfer Learning, Multi-task Learning, GANs  | Yes (Pretrained on ImageNet or related skin tasks)  | IoU, Dice, Jaccard, Accuracy, Sensitivity, Specificity, AUC, Precision, F1-score  | ACC: 98.7% (Segmentation), AUC: 0.98 (Classification)  | Yes  | Limited labeled data, Class imbalance, Noisy/Heterogeneous sources, Lack of skin tone diversity, Missing patient meta-data, "Black Box" opaqueness  | Integrating meta-data/NLP, Fusing handcrafted and deep features, GANs for synthesis, Semi-supervised learning, Reinforcement learning, Explainable AI (ABCDE criteria)  | 10
Skin Lesion Analysis towards Melanoma Detection Using Deep Learning Network | 2018  | ISIC 2017  | 2000  | Balanced (Method: Images rotated at specific angles for each class: Melanoma (18°), Seborrheic Keratosis (18°), and Nevus (45°))  | Center cropping (0.8 of image height) and proportional resizing to ~300x300 and ~500x500  | Geometric (Rotation, Random flipping along x or y-axis)  | Both (Lesion Boundary and Attributes: Pigment Network, Negative Network, Streaks, and Milia-like Cysts)  | Multi-class (Melanoma vs. Seborrheic Keratosis vs. Nevus)  | FCRN-88 (with Residual-in-Residual modules) and a 12-layer CNN for feature extraction  | Ensemble (two FCRNs trained on different augmentation sets) and New Architecture (RiR module and Lesion Index Calculation Unit)  | No (FCRNs were extension of previous HEp-2 work; LFN trained from scratch on ISIC patches)  | JA, AC, DC, SE, SP, AUC, AP  | AUC: 0.912 (Classification); JA: 0.753 (Segmentation)  | Yes  | High computational cost of high-resolution images and potential "mirroring" operation fooling deeper networks (overfitting)  | Converting feature extraction to benchmark research for subsequent related work  | 10
Skin Lesion Classification Using Convolutional Neural Network with Novel Regularizer | 2021 | HAM10000 | 10,015 | No (Method: Data augmentation was used to address the imbalance of classes) | Resizing to $224 \times 224$ pixels and pixel value normalization to the range [0, 1] | Geometric (Rotation, Horizontal/Vertical flips, Zooming, Shearing) | N/A | Multi-class (Melanoma, Melanocytic nevi, Basal cell carcinoma, Actinic keratoses, Benign keratosis-like lesions, Dermatofibroma, Vascular lesions) | ResNet50 | Standard (Enhanced with a novel "Correlation-based Regularizer") | Yes [ImageNet] | ACC Precision, Recall, F1-score | ACC: 86.3% | Yes | High computational cost for training deep networks and susceptibility to overfitting due to limited medical datasets | Exploring the fusion of handcrafted features with deep features to improve performance | 9
Skin lesion classification with ensembles of deep convolutional neural networks | 2018 | ISIC 2017 | 2,750 (2,000 training, 150 validation, 600 test) | No (The dataset is highly imbalanced; the author addresses this by investigating different fusion strategies rather than simple re-balancing) | Resizing to fit the input requirements of different architectures (e.g., $224 \times 224$ or $299 \times 299$) | None reported (The study focuses on the impact of ensembling existing models without specific reported augmentation) | N/A | Multi-class (Melanoma, Nevus, Seborrheic Keratosis) | VGG16, VGG19, Inception-v3, ResNet50 | Ensemble (Investigates different fusion strategies for classification layer outputs) | Yes [ImageNet] | ACC, AUC | AUC: 0.891 (for the best-performing ensemble strategy) | Yes | Data scarcity (Deep learning requires thousands of labeled images per class, which is often unavailable in medical fields) | Improving individual model accuracies through the creation of weighted frameworks and different fusion strategies | 9
Skin Lesion Segmentation and Multiclass Classification Using Deep Learning Features and Improved Moth Flame Optimization | 2021 | ISBI 2016, ISBI 2017, ISIC 2018, PH2 (Segmentation); HAM10000 (Classification) | 16,638 | No (Method: Data augmentation via right/left flips and transposition used to balance classes) | Local color-controlled histogram intensity values (LCcHIV) for contrast stretching | Geometric (Right flip, Left flip, Transposition) | Lesion Boundary | Multi-class (AKIEC, BCC, BKL, DF, NV, MEL, VASC) | Custom 10-layer CNN (Saliency), ResNet101, DenseNet201 (Feature Extraction) | Ensemble (Feature fusion via MMCA) and New Architecture (Custom Saliency CNN and Improved Moth Flame Optimization for feature selection) | Yes [ImageNet] | ACC, Sensitivity, FNR, Error Rate, Dice, Jaccard | ACC: 98.70% (Segmentation on PH2); ACC: 90.67% (Classification on HAM10000) | Yes | High computational time for processing and the risk of deep models training on irrelevant image features | Extending segmentation techniques to avoid irrelevant features and addressing computational constraints | 10
Skin Lesion Segmentation Based on Vision Transformers and Convolutional Neural Networks—A Comparative Study | 2022  | ISIC 2018  | 3,594 (2,594 training and 1,000 testing images)  | N/A (Dataset balance not explicitly addressed; images resized to 512x512 as a pre-processing step)  | Resizing (Uniform dimension of 512x512)  | None reported  | Lesion Boundary  | N/A (Study focuses exclusively on binary segmentation task)  | U-Net, V-Net, Attention U-Net, TransUNet, Swin-UNet  | Ensemble (Hybrid TransUNet combining Transformer and CNN architectures)  | No (Architectures were modified for binary skin lesion segmentation from their original multi-organ or 3D implementations)  | IoU, Dice Coeff, Precision, Recall, Accuracy  | ACC: 92.11% (TransUNet on test set)  | Yes  | Hybrid architectures require significantly more training and inference time compared to standard U-Net or V-Net models  | Combining segmentation with classification to identify the possible progression of lesions  | 10
Skin lesion segmentation in dermoscopy images via deep full resolution convolutional networks | 2018 | ISBI 2017 Challenge, PH2  | 2,950 (2,750 from ISBI 2017; 200 from PH2)  | No (Addressing inequality through percentages of existence in final indices)  | Resizingusing bilinear interpolation; Conversion to HSV color space  | Geometric| Lesion Boundary  | N/A (Focuses exclusively on binary segmentation task)  | FrCN (Full Resolution Convolutional Network, inspired by VGG-16)  | New Architecture (Elimination of all subsampling layers to learn full-resolution features)  | Yes [VGG-16 weights pre-trained on ImageNet]  | SEN, SPE, DIC, JAC, ACC, MCC, AUC  | JAC: 77.11%, ACC: 94.03% (ISBI 2017 overall); JAC: 84.79%, ACC: 95.08% (PH2 overall)  | Yes  | Requires high computational resources (memory) for original large image sizes; sensitivity still needs enhancement  | Utilizing original image sizes without resizing in FrCN; developing a CAD system for multi-class classification  | 10
Skin lesion segmentation using high-resolution convolutional neural network | 2020 | ISBI 2016, ISBI 2017, PH2 | 3,100 (2,000 training, 150 validation, 600 test from ISBI 2017; 350 test from ISBI 2016) 1111 | Method: Weighted binary cross-entropy loss function (hyperparameter $W_t = 0.75$) to prioritize lesion pixels 2222 | Resizing| Geometric (Rotation at 90°, 180°, 270°; Horizontal/Vertical flips)  | Lesion Boundary  | N/A  | CNN with High-Resolution Feature Blocks (HRFB)  | New Architecture (HRFB with three branches: main, spatial attention, and channel-wise attention)  | No (Trained from scratch using Adam optimization)  | JA, DI, AC, SE, SP  | JA: 0.783 (ISBI 2017); JA: 0.858 (ISBI 2016); JA: 0.857 (PH2)  | Yes  | Sensitivity still needs enhancement; limited training dataset size for high confidence  | Investigating semantic segmentation for other medical images and exploring new attention mechanisms  | 10
Skin lesion segmentation via generative adversarial networks with dual discriminators | 2020 | ISIC 2017, ISIC 2016, ISIC 2018  | 5,347 (2,750 from ISIC 2017; 1,279 from ISIC 2016; 1,318 from ISIC 2018)  | Method: Adversarial Learning (GANs automatically learn characteristics in an unsupervised manner to mitigate limited training data)  | Cropping (removal of black surrounding areas); Resizing| Geometric (Flip along x and y-axis; Rotations at 90°, 180°, and 270°)  | Lesion Boundary  | N/A  | DAGAN (Dual Adversarial GAN) featuring UNet-SCDC (Skip Connection and Dense Convolution U-Net)  | New Architecture (Dual discriminators for boundary and contextual analysis; Dense dilated convolution blocks for fine-grained feature preservation)  | No (Trained from scratch using Adam optimizer)  | Acc, Sen, Spec, JI, DC  | JI: 0.771 (ISIC 2017); JI: 0.871 (ISIC 2016); JI: 0.824 (ISIC 2018)  | Yes  | Failure cases in images with extremely low contrast, ambiguous boundaries, and artificial noise  | Transfer learning to boost recognition in low-contrast cases; extending model to other medical segmentation tasks  | 10
Skin Lesions Classification Into Eight Classes for ISIC 2019 Using Deep Convolutional Neural Network and Transfer Learning | 2020 | ISIC 2019 | 25,331 | No (Method: Data augmentation used to increase the number of images in minority classes to match the majority class) | Resizingand subtractive mean RGB normalization | Geometric (Rotation at 90°, 180°, and 270°; Horizontal and Vertical flipping) | N/A | Multi-class (Melanoma, Melanocytic nevus, Basal cell carcinoma, Actinic keratosis, Benign keratosis, Dermatofibroma, Vascular lesion, Squamous cell carcinoma) | GoogLeNet | Transfer Learning (Fine-tuning a pre-trained model) | Yes [ImageNet] | ACC, Precision, Recall, F1-score | ACC: 94.92% | Yes | High similarity between different types of skin lesions can still lead to inaccurate diagnosis; high computational requirements for training | Investigating other pre-trained models and deep architectures to further improve classification accuracy | 10
Skin-CAD: Explainable deep learning classification of skin cancer from dermoscopic images by feature selection of dual high-level CNNs features and transfer learning  | 2024  | ISIC 2018 (Task 3)  | 10,015  | No (Method: Synthetic Minority Over-sampling Technique (SMOTE) applied after feature extraction to balance the feature space)  | Resizing| None reported (Focused on feature-level manipulation)  | N/A  | Multi-class (Melanoma, Melanocytic Nevus, Basal Cell Carcinoma, Actinic Keratosis, Benign Keratosis, Dermatofibroma, Vascular Lesion)  | Dual-branch CNN: ResNet-50 and Xception  | New Architecture/Ensemble (Hybrid feature fusion and selection framework)  | Yes [ImageNet]  | ACC, Sen, Spec, Prec, F1, AUC, MCC  | ACC: 99.1% (with SMOTE and PCA feature selection)  | Yes  | High dimensionality of fused features requiring significant reduction; model explainability remains a general challenge in deep learning  | Exploring other fusion strategies and testing the framework on larger, more diverse dermatological datasets beyond ISIC  | 10
Skin-Net: a novel deep residual network for skin lesions classification using multilevel feature extraction and cross-channel correlation with detection of outlier  | 2023  | ISIC-2019 and ISIC-2020 (SIIM-ISIC Melanoma Classification challenge)  | 58,457 (25,331 from ISIC-2019 and 33,126 from ISIC-2020)  | No; addressed by converting dataset to image and weights vector (bootstrap sampling with replacement)  | Resizing| Random rotation (0-360°), vertical and horizontal flips, and vertical and horizontal shifts (applied only to minority classes in ISIC-2019)  | N/A  | Both; Multi-class (9 classes for ISIC-2019 including outliers; 7 classes for ISIC-2020)  | Skin-Net (54-layer Residual Deep Convolutional Neural Network with cross-channel correlation)  | New Architecture  | No (randomly initialized parameters)  | Accuracy, Sensitivity, Specificity, Precision, F-score, Confusion Matrix, and ROC  | ISIC-2020: Accuracy 99.05%, Specificity 99.42%, Sensitivity 96.57%  | Yes  | High computational expense (not lightweight), unsuitable for microdevices or memory-limited hardware, and currently tested only on skin lesions  | Generalizing the model for different classification tasks beyond skin lesions and identifying various other malignancies  | 9
SkinSAM: Empowering Skin Cancer Segmentation with Segment Anything Model | 2023 | HAM10000 | 10,015 | No; classes mentioned but no specific balancing method for segmentation reported | Image normalization and resizing| Random select a point within the mask; bounding box defined as mask dimensions plus 20 pixels, randomly shifted up to 30 pixels and scaled by up to 10% | Lesion Boundary | Multi-class (7 classes: MEL, NV, BCC, AKIEC, BKL, DF, VASC) | Vision Transformer (ViT-Base, ViT-Large, ViT-Huge) backbones for Segment Anything Model (SAM) | New Architecture (Finetuned SAM) | Yes [Source: Segment Anything Model (SAM) pre-trained on SA-1B] | Mean Pixel Accuracy, Mean Dice Score, Mean IoU | ViT_b_finetuned: Mean Pixel Accuracy: 0.945, Mean Dice: 0.8879, Mean IoU: 0.7843 | No (primarily compared variants of SAM) | Limited to 2D surface representation; lacks 3D structural information; heavy reliance on prompts for high performance; limited computational resources for finetuning larger models | Adapting SAM for 3D medical image segmentation; finetuning larger backbones like ViT_h; exploring SAM as a tool for generating ground truth labels | 9
NC_Net: Skin Cancer Detection by Integrating Handcrafted and Deep Learning-Based Features Using Dermoscopy Images  | 2024  | ISIC 2019 (comprising MSK, HAM10000, and BCN_20000 datasets)  | 25,331 images total in dataset; 4,550 images used in the specific study subset  | No (Initially imbalanced); SMOTE Tomek used for up-sampling  | Hair and artifact removal (Black-hat transformation, binary thresholding), resizing, and data normalization  | SMOTE Tomek (Synthetic sample generation)  | N/A (Segmentation explicitly not performed to avoid losing valuable boundary/texture information)  | Multi-class (AKs, BCCa, SCCa, BKs, DFa, MNi, MELa, VASn)  | Inception V3 (feature extraction), Handcrafted features (Color histograms, GLCM, ORB, Zernike moments), and a custom CNN (classification)  | Feature Fusion (Integrating Handcrafted and Deep Learning features)  | Yes (Inception V3 pre-trained on ImageNet)  | Accuracy, Precision, Recall, F1 score, AUC, ROC  | Accuracy: 97.81%; Precision: 98.31%; Recall: 97.89%; F1 Score: 98.10%; AUC: 99.67%  | Yes (Compared against EfficientNetB0, MobileNetV2, DenseNet-121, ResNet-101, and six SOTA classifiers)  | High class imbalance in original dataset; reliance on public data; lack of evaluation on real-world/camera-captured images  | Testing on camera-captured images and incorporating federated learning  | 9
SSD-KD: A self-supervised diverse knowledge distillation method for lightweight skin lesion classification using dermoscopic images  | 2023  | ISIC 2019 (Public)  | 25,331  | No; addressed using Weighted Cross Entropy loss  | Resizing| Horizontal and vertical flips, adjustments in brightness, contrast, and saturation, image scaling, and random noise  | N/A  | Multi-class (MM, MN, BCC, AK, BKL, DF, VASC, SCC)  | ResNet50 (Teacher), MobileNetV2 (Student), EfficientNetB7 (Teacher), EfficientNetB0 (Student)  | Knowledge Distillation (SSD-KD)  | Yes (ImageNet)  | ACC, BACC, mAP, AUC  | ACC: 86.6%, BACC: 85.8%, mAP: 0.808 (using EfficientNetB7/B0 pair)  | Yes  | Improvement from adding different modules to BLKD was not very obvious; relied on fixed hyperparameters rather than exhaustive fine-tuning for all modules  | Incorporate Transformer architectures, multi-teacher KD, and teaching assistant mechanisms; apply to other medical imaging scenarios  | 10
State-of-the-art machine learning techniques for melanoma skin cancer detection and classification: a comprehensive review | 2023 | ISIC (2016, 2017, 2018), HAM10000, PH2, MED-NODE/UMCG, Dermofit, DermIS, Dermquest | 1,279 (ISIC 2016); 11,527 (ISIC 2018); 170 (MED-NODE); 1,300 (Dermofit); 200 (PH2)  | No (Balanced datasets are noted as a challenge/requirement)  | Hair removal, shade removal, glare removal, noise reduction (filters), grayscale conversion, illumination correction  | Rotation, Flip, GANs (synthetic images mentioned as future scope/technique)  | Lesion Boundary  | Both (Binary: Benign/Malignant; Multi-class: 3 to 10 classes)  | CNN (AlexNet, VGG16, ResNet152, DenseNet, GoogleNet), SVM, KNN, U-Net  | Review of standard and hybrid methods (e.g., CNN for feature extraction with KNN/SVM classifiers)  | Yes (AlexNet, VGG16, ResNet152, DenseNet)  | Accuracy, Sensitivity (Recall), Specificity, Precision, F1-Score  | Accuracy: 98.84% (KNN on ISIC 2018), 98% (CNN on ISBI 2016), 97.8% (SVM on ISIC)  | Yes  | "Black-box" nature (lack of interpretability), limited dataset diversity (racial/age bias), computational costs for large datasets, performance gap between closed systems and real-life settings  | Use of GANs for synthetic data, cloud/IoT-based real-time monitoring, multi-model ensemble architectures, fine-tuning hyperparameters on larger/racially diverse datasets  | 9
Step-wise integration of deep class-specific learning for dermoscopic image segmentation | 2019 | ISBI 2017, ISBI 2016, PH2 (Public) | 4,079 | No; addressed using class-specific models (DCL) and probability based step-wise integration | Resizing (maximum 1000 pixels on longest axis, preserving aspect ratio) | Random cropping and flipping | Lesion Boundary | Binary (Melanoma vs. Non-melanoma) | ResFCN (ResNet101 backbone with RefineNet modules), ResCNN | New Architecture (DCL-PSI) | Yes (ImageNet) | DSC, Jac., Sen., Spec., Acc. | DSC: 92.10%, Jac: 85.90% (on PH2) | Yes | Small training dataset for melanoma studies limited learning of subtle variations | Automatic skin lesion monitoring/tracking over image sequences; adaptation to CT lung segmentation | 10
Superior skin cancer classification by the combination of human and artificial intelligence  | 2019  | ISIC archive; HAM10000  | 11,444  | No; class n down-sampled by 2, others up-sampled by 3  | Data set cleaning (one image per lesion)  | Up-sampling (data augmentation)  | N/A  | Both; Binary (Benign vs. Malignant) and Multi-class (Actinic keratosis/Bowen's/SCC; BCC; Benign keratosis; Nevi; Melanoma)  | ResNet50; XGBoost (for fusion)  | Ensemble (Human-AI Fusion)  | Yes (ResNet50 mentioned as standard for skin lesion classification)  | ACC, Sensitivity, Specificity  | ACC: 82.95% (Multi-class), Sensitivity: 89% (Binary)  | Yes (CNN outperformed 112 dermatologists; Fusion outperformed individual classifiers)  | Use of only biopsy-verified images (bias); anonymity of survey; decisions based on single images without clinical context; lack of entirely external test set  | Applying human-AI fusion to prospective assessment of oncologic transformation and other medical domains  | 9
Systematic outperformance of 112 dermatologists in multiclass skin cancer image classification by convolutional neural networks | 2019  | ISIC archive; HAM10000  | 11,444  | No; nv downsampled by 2, others upsampled by 3  | Duplicates removed by lesion ID  | Data augmentation (upsampling)  | N/A | Both; Binary (Benign vs. Malignant) and Multi-class (akiec, bcc, bkl, nv, mel)  | ResNet50  | Standard  | Yes (ResNet50 based on previous experience)  | Sensitivity, Specificity, AUC, McNemar tests  | Multi-class Sensitivity: 56.5% (Dermatologists) vs 98.8% Specificity (CNN at equal sensitivity); Binary AUC: 0.928  | Yes (CNN significantly outperformed dermatologists across most categories)  | Biopsy-verified image bias (presumably difficult lesions); anonymity risk; decision based on single images without clinical context  | Integration of additional clinical information (palpation, age, family history) into machine learning models  | 9
